mle,tv,kl,normalized_mle,normalized_tv,normalized_kl,alpha,seed
0.7947447483528991,0.0012940531796532713,1.7497903139360497e-05,-0.92068191555872,0.9869774373197207,0.8748951569680248,0.8,0
0.8014031891674708,0.00028467369921751184,1.0052275705818803e-06,0.24028110136339384,0.22213405791460877,0.050261378529094014,0.8,1
0.8042563758359056,0.0007317595133167136,8.241091463535128e-06,0.6535614059316088,0.6367854680787329,0.4120545731767564,0.8,2
0.8290235150385643,0.0010937792625304718,9.06010403068625e-05,2.0599481156328876,2.0591814063296114,4.5300520153431245,0.8,3
0.7975867318264986,0.0008029970958891226,4.930394305590561e-06,-0.47660460137616845,0.5432910180846926,0.24651971527952804,0.8,4
0.7982970171216086,0.00036224880212678087,1.5294852794514482e-06,-0.2616021020114786,0.31509913172082293,0.07647426397257241,0.8,5
0.7954430571590967,0.0011096587059392666,1.297137690191492e-05,-0.7897821839391257,0.8555135045151651,0.648568845095746,0.8,6
0.809113686052918,0.0022929645771893412,5.672599093264766e-05,1.6887057145456965,1.6535168793441375,2.8362995466323833,0.8,7
0.7911261841193258,0.0013418141730120081,3.0878526677339244e-05,-1.2417635935060383,1.2812534903016235,1.5439263338669622,0.8,8
0.7912974245064777,0.0020922222491380907,4.698795504408902e-05,-1.526949361888431,1.5933169520258175,2.349397752204451,0.8,9
0.8063005511895937,0.0011195726781803392,1.890936231757265e-05,0.9807829837628909,0.9610126614043624,0.9454681158786326,0.8,10
0.7913966424375934,0.00109828774387118,2.4537419973973715e-05,-1.1098784957154662,1.1375745550029484,1.2268709986986857,0.8,11
0.8016265757033075,0.0003783820180748268,1.5653606392576906e-06,0.29764624784996596,0.27629660837881986,0.07826803196288454,0.8,12
0.815170092011114,0.003283474863469144,0.00013780356472561516,2.5994906209561712,2.5603825112065377,6.890178236280758,0.8,13
0.8067776315592701,0.001704694826024021,3.111369569563948e-05,1.258779376864436,1.2264396325512528,1.5556847847819741,0.8,14
