mle,tv,kl,normalized_mle,normalized_tv,normalized_kl,alpha,seed
0.8093315119858897,0.003009412615449414,7.663850359777347e-05,0.612565418577425,0.6125654185774245,0.3831925179888674,0.8,0
0.7904634056967069,0.0018214895119289683,4.548549472790963e-05,-0.4817764745889422,0.48177647458893746,0.22742747363954816,0.8,1
0.8130919614362432,0.0033515421276782433,0.00012069681983210216,0.7657029108152793,0.7657029108152793,0.6034840991605108,0.8,2
0.6698152792921569,0.0034498950987578315,0.00097823247624254,-2.4497318614746044,2.449731861474596,4.8911623812127,0.8,3
0.8133185545615748,0.006079920157358863,0.00022213743767178582,1.0401909792660764,1.0401909792660773,1.110687188358929,0.8,4
0.7983045789074075,0.0004052056411296409,1.8292956636250786e-06,-0.09581028463589036,0.09581028463589403,0.009146478318125394,0.8,5
0.8102480601094422,0.003561200888031144,9.953835872288878e-05,0.6983202992135615,0.6983202992135626,0.4976917936144439,0.8,6
0.8123414281760469,0.004288646291176266,0.00014519514055360725,0.8409659705917646,0.8409659705917593,0.7259757027680362,0.8,7
0.7660504757538869,0.005058479112670859,0.0004313052772331777,-1.5148248638671786,1.5148248638671766,2.1565263861658885,0.8,8
0.7844632684519076,0.005313562189447587,0.00021353616294429029,-1.0502877808529498,1.0502877808529452,1.0676808147214514,0.8,9
0.8073941719034562,0.0020407914453539045,4.092296253431081e-05,0.44903447139046765,0.4490344713904693,0.20461481267155407,0.8,10
0.7817486978566747,0.00047453385572642247,2.2811398442525632e-05,-0.3401857572109894,0.34018575721096267,0.11405699221262816,0.8,11
0.8044378083973415,0.0011893326504875032,1.4168096879277879e-05,0.2655654315879256,0.26556543158792595,0.07084048439638939,0.8,12
0.7907933638374234,0.003056603205975439,7.392977707091708e-05,-0.6132049055279022,0.6132049055278996,0.3696488853545854,0.8,13
0.8126450633989554,0.00484938181349936,0.0001677823148129474,0.9051890533502627,0.9051890533502613,0.838911574064737,0.8,14
0.8034777791977825,0.0007738058715066227,7.275055236977319e-06,0.18962806398467894,0.18962806398468457,0.0363752761848866,0.8,15
0.8200498726524896,0.006024986732073128,0.00033685163297930004,1.2704847449520862,1.2704847449520877,1.6842581648965003,0.8,16
0.7951277224311577,0.00040196289942946814,5.213293937779477e-06,-0.16176873669690944,0.16176873669689937,0.026066469688897385,0.8,17
0.8019611200814037,0.0006383445864969284,3.349094362381771e-06,0.1293347658802032,0.1293347658802081,0.016745471811908854,0.8,18
0.8177856600731743,0.007052014219013615,0.00034672379189329893,1.2945748973274014,1.2945748973274036,1.7336189594664946,0.8,19
0.8029069850157348,0.0005828504956547845,4.542433176889173e-06,0.15046503125617638,0.15046503125616945,0.022712165884445863,0.8,20
0.7848830601310404,0.0037338841476330363,0.0001461765854193055,-0.8684562804846975,0.8684562804846965,0.7308829270965276,0.8,21
0.7758115949921888,0.0025034999183084394,0.00015750891939566376,-0.8995245168714355,0.8995245168714257,0.7875445969783188,0.8,22
0.7932745361777691,0.0009886431818679486,1.762820072326299e-05,-0.29806879116198787,0.29806879116198814,0.08814100361631495,0.8,23
0.7849927173285635,0.004817337737531125,0.00018747609061408156,-0.9828566423323986,0.9828566423323948,0.9373804530704078,0.8,24
0.8175566796345912,0.00041258197141293953,2.0579399404398857e-05,0.3111085262709641,0.3111085262709994,0.10289699702199429,0.8,25
0.8093661588253428,0.002711502979936738,6.925587801357032e-05,0.5825341632735315,0.5825341632735339,0.34627939006785163,0.8,26
0.7588993298274515,0.009206550118650885,0.0009339770305390096,-2.2485808650033094,2.24858086500331,4.669885152695048,0.8,27
0.8051076432055456,0.0019077047372712663,2.624222074096912e-05,0.3608290152752501,0.3608290152752489,0.1312111037048456,0.8,28
0.7973133781975288,0.00019746670248161027,1.4107025838632685e-06,-0.08419490328268435,0.0841949032826728,0.007053512919316342,0.8,29
0.7840669191776578,0.004995020837804286,0.00020589433476034865,-1.031226654274523,1.0312266542745216,1.0294716738017433,0.8,30
0.8129766889059568,0.004022773560846594,0.00014320121757327897,0.835180485527748,0.8351804855277509,0.7160060878663949,0.8,31
0.8117659312689368,0.0016884111370924514,5.4402355269794755e-05,0.5152142372749494,0.5152142372749571,0.2720117763489738,0.8,32
0.8006198010087197,0.00019151851169436012,3.1875236676627897e-07,0.03982603916164286,0.039826039161642894,0.001593761833831395,0.8,33
0.794682570951112,0.0011166601002664679,1.5809753751171922e-05,-0.281674121938625,0.2816741219386225,0.0790487687558596,0.8,34
0.7870990259244125,0.0032381444929724702,0.00010825010898863328,-0.7471279115646392,0.7471279115646383,0.5412505449431664,0.8,35
0.781575547788846,0.0016397762467927242,7.83478036804824e-05,-0.6353677773127235,0.6353677773127282,0.391739018402412,0.8,36
0.8086764853384636,0.001331840499454171,3.156442017580386e-05,0.39294668127356575,0.3929466812735707,0.1578221008790193,0.8,37
0.8216850036991372,0.006212753559802802,0.00037781954735118754,1.3417061539850594,1.3417061539850599,1.8890977367559376,0.8,38
0.7968788979690811,0.0006960057528948992,5.760297781953717e-06,-0.1703711268325627,0.17037112683255473,0.028801488909768583,0.8,39
0.8177296439098024,0.0022693944204547857,0.00011204915773129387,0.7332306250636658,0.7332306250636927,0.5602457886564693,0.8,40
0.7826052769061745,0.0062186135060425946,0.00027880193473342344,-1.2022399095671,1.2022399095670953,1.3940096736671173,0.8,41
0.8108448011775846,0.0036275859939020622,0.00010762569968402694,0.7250287919809089,0.7250287919809133,0.5381284984201348,0.8,42
0.8074221408896319,0.001139298626558568,2.295099168142154e-05,0.3361390605475447,0.3361390605475662,0.1147549584071077,0.8,43
0.8020191006826037,0.00039473418344902376,2.136288317633136e-06,0.10319697201771819,0.10319697201771873,0.01068144158816568,0.8,44
0.8087720242529648,0.0030219623551463884,7.206100360148608e-05,0.5951549292455328,0.595154929245539,0.3603050180074304,0.8,45
0.7996528003319991,6.0239142398138484e-05,5.582562861555299e-08,-0.016717242363172652,0.016717242363167892,0.00027912814307776493,0.8,46
0.8019068789650398,0.0007617981465334131,3.88543967727909e-06,0.13932117158503804,0.1393211715850466,0.01942719838639545,0.8,47
0.8019712586093044,0.0005450530054726665,2.893019522252319e-06,0.11981929748402388,0.11981929748402627,0.014465097611261593,0.8,48
0.8084336017098669,0.002605982928348862,5.965150205661067e-05,0.5419109476196428,0.5419109476196442,0.29825751028305336,0.8,49
0.7873612131165536,0.002685742212732379,8.884515266047903e-05,-0.6734734136927641,0.6734734136927669,0.44422576330239516,0.8,50
0.7817620032266048,0.004842188143336406,0.00022830091737743603,-1.0862880332107563,1.086288033210751,1.14150458688718,0.8,51
0.7999712016704333,5.615674265477083e-06,4.3448038718316403e-10,-0.001470009702261451,0.0014700097022535565,2.17240193591582e-06,0.8,52
0.7890134817643513,0.0025818317853774416,7.429051179609213e-05,-0.6156439416358834,0.6156439416358784,0.37145255898046065,0.8,53
0.8122431285522117,0.0026690020243821584,8.940345260620842e-05,0.6607790335622172,0.6607790335622215,0.4470172630310421,0.8,54
0.8149277491506608,0.00556058655862116,0.00022829738115453515,1.0531568698644962,1.0531568698645017,1.1414869057726758,0.8,55
0.7483483441245534,0.00860000070326186,0.0010846455434652055,-2.4362786865924986,2.4362786865924977,5.423227717326028,0.8,56
