K,normalized_K,inverse_K,alpha,seed
144,11.185914379906569,0.0003194687364236075,0.3,0
34,2.6411186730334952,0.03926813549502645,0.3,1
65,5.049197463152271,0.004528198767769069,0.3,2
31,2.408078790118775,0.053427439133592894,0.3,3
78,6.059036955782725,0.0024659711726882933,0.3,4
77,5.981356994811151,0.002574349972076794,0.3,5
140,10.875194536020274,0.0003509214259391723,0.3,6
48,3.7286381266355226,0.012440348491507163,0.3,7
36,2.796478594976642,0.03245600052926631,0.3,8
64,4.9715175021806965,0.0047683715820312465,0.3,9
91,7.068876448413178,0.001475135891446316,0.3,10
67,5.204557385095417,0.004093115458002039,0.3,11
101,7.8456760581289124,0.0010420744753700934,0.3,12
58,4.505437736351257,0.006620285098389965,0.3,13
68,5.2822373460669905,0.003895892474602174,0.3,14
42,3.262558360806082,0.019415073381140933,0.3,15
101,7.8456760581289124,0.0010420744753700934,0.3,16
14,1.0875194536020274,0.7560372935188074,0.3,17
72,5.592957189953284,0.0032200430864273606,0.3,18
25,1.9419990242893348,0.10943846058730855,0.3,19
105,8.156395902015205,0.0009155294961220824,0.3,20
46,3.573278204692376,0.014336525078071007,0.3,21
60,4.6607976582944035,0.005912881422789758,0.3,22
77,5.981356994811151,0.002574349972076794,0.3,23
31,2.408078790118775,0.053427439133592894,0.3,24
132,10.253754848247688,0.0004269629924593782,0.3,25
94,7.301916331327899,0.00132396699571758,0.3,26
140,10.875194536020274,0.0003509214259391723,0.3,27
139,10.797514575048702,0.0003594076665373596,0.3,28
153,11.885034028650729,0.00026101486108874345,0.3,29
123,9.554635199503528,0.0005402809226801063,0.3,30
14,1.0875194536020274,0.7560372935188074,0.3,31
96,7.457276253271045,0.001234238892641842,0.3,32
20,1.5535992194314678,0.23025196866502406,0.3,33
113,8.777835589787793,0.0007167623632623165,0.3,34
61,4.738477619265977,0.005595907851524272,0.3,35
40,3.1071984388629357,0.022843888579788002,0.3,36
24,1.8643190633177613,0.12539085545982248,0.3,37
38,2.9518385169197887,0.02710345664724279,0.3,38
124,9.6323151604751,0.0005258934000499279,0.3,39
33,2.563438712061922,0.04337673621641649,0.3,40
92,7.146556409384752,0.0014223634369061493,0.3,41
68,5.2822373460669905,0.003895892474602174,0.3,42
77,5.981356994811151,0.002574349972076794,0.3,43
93,7.2242363703563255,0.0013720191586281086,0.3,44
97,7.5349562142426185,0.0011923329801384107,0.3,45
12,0.9321595316588807,1.2638606260652467,0.3,46
84,6.525116721612164,0.001926219244328931,0.3,47
68,5.2822373460669905,0.003895892474602174,0.3,48
94,7.301916331327899,0.00132396699571758,0.3,49
27,2.0973589462324815,0.0846754390421514,0.3,50
16,1.2428793755451741,0.48443635619146697,0.3,51
99,7.690316136185766,0.0011139166333402168,0.3,52
97,7.5349562142426185,0.0011923329801384107,0.3,53
100,7.767996097157339,0.001077217345015941,0.3,54
35,2.7187986340050685,0.035651394604417457,0.3,55
55,4.272397853436536,0.007902436947646262,0.3,56
26,2.0196789852609083,0.09602673833340399,0.3,57
69,5.359917307038564,0.003710846886045888,0.3,58
53,4.11703793149339,0.008940952184894786,0.3,59
95,7.379596292299472,0.0012780798465341003,0.3,60
138,10.719834614077127,0.0003681626406626349,0.3,61
63,4.893837541209123,0.005025371504351538,0.3,62
54,4.194717892464963,0.008400867563211267,0.3,63
11,0.8544795706873073,1.689122137575541,0.3,64
112,8.70015562881622,0.0007383176694519603,0.3,65
52,4.0393579705218166,0.00952705909047003,0.3,66
97,7.5349562142426185,0.0011923329801384107,0.3,67
53,4.11703793149339,0.008940952184894786,0.3,68
74,5.748317111896431,0.002938986595097844,0.3,69
50,3.8839980485786696,0.01085767046637962,0.3,70
60,4.6607976582944035,0.005912881422789758,0.3,71
24,1.8643190633177613,0.12539085545982248,0.3,72
114,8.855515550759366,0.0006960180459347941,0.3,73
45,3.4955982437208024,0.015426294747174189,0.3,74
137,10.642154653105555,0.00037719689912476997,0.3,75
49,3.806318087607096,0.011614033406709717,0.3,76
22,1.7089591413746146,0.16758214113063669,0.3,77
59,4.58311769732283,0.006253598078823452,0.3,78
70,5.437597268010137,0.0035370663311991035,0.3,79
5,0.38839980485786696,23.39214190570292,0.3,80
56,4.35007781440811,0.007441775786014798,0.3,81
21,1.631279180403041,0.1956916771052247,0.3,82
28,2.175038907204055,0.07500839969118409,0.3,83
93,7.2242363703563255,0.0013720191586281086,0.3,84
80,6.214396877725871,0.002266400797662488,0.3,85
112,8.70015562881622,0.0007383176694519603,0.3,86
28,2.175038907204055,0.07500839969118409,0.3,87
98,7.612636175214192,0.0011522580529628008,0.3,88
102,7.923356019100486,0.001008407572896479,0.3,89
79,6.136716916754298,0.0023634497153166936,0.3,90
89,6.913516526470032,0.001588558876032669,0.3,91
106,8.23407586298678,0.0008870548064937096,0.3,92
43,3.340238321777656,0.017950442230363003,0.3,93
53,4.11703793149339,0.008940952184894786,0.3,94
2,0.15535992194314677,496.0628287400623,0.3,95
68,5.2822373460669905,0.003895892474602174,0.3,96
70,5.437597268010137,0.0035370663311991035,0.3,97
68,5.2822373460669905,0.003895892474602174,0.3,98
74,5.748317111896431,0.002938986595097844,0.3,99
61,4.738477619265977,0.005595907851524272,0.3,100
83,6.447436760640591,0.002004670639608852,0.3,101
42,3.262558360806082,0.019415073381140933,0.3,102
65,5.049197463152271,0.004528198767769069,0.3,103
15,1.1651994145736009,0.60071130820478,0.3,104
24,1.8643190633177613,0.12539085545982248,0.3,105
65,5.049197463152271,0.004528198767769069,0.3,106
71,5.51527722898171,0.003373718494643336,0.3,107
43,3.340238321777656,0.017950442230363003,0.3,108
66,5.126877424123844,0.004303517293805413,0.3,109
14,1.0875194536020274,0.7560372935188074,0.3,110
51,3.961678009550243,0.010164111423725381,0.3,111
66,5.126877424123844,0.004303517293805413,0.3,112
100,7.767996097157339,0.001077217345015941,0.3,113
66,5.126877424123844,0.004303517293805413,0.3,114
32,2.4857587510903483,0.048062173839373494,0.3,115
81,6.292076838697445,0.002174469271128354,0.3,116
10,0.7767996097157339,2.3207944168063888,0.3,117
42,3.262558360806082,0.019415073381140933,0.3,118
93,7.2242363703563255,0.0013720191586281086,0.3,119
11,0.8544795706873073,1.689122137575541,0.3,120
92,7.146556409384752,0.0014223634369061493,0.3,121
3,0.23303988291472016,128.40023599085825,0.3,122
101,7.8456760581289124,0.0010420744753700934,0.3,123
122,9.476955238531954,0.0005551843756391709,0.3,124
3,0.23303988291472016,128.40023599085825,0.3,125
58,4.505437736351257,0.006620285098389965,0.3,126
79,6.136716916754298,0.0023634497153166936,0.3,127
140,10.875194536020274,0.0003509214259391723,0.3,128
156,12.11807391156545,0.00024465532710304065,0.3,129
103,8.001035980072059,0.0009761410768775173,0.3,130
95,7.379596292299472,0.0012780798465341003,0.3,131
138,10.719834614077127,0.0003681626406626349,0.3,132
6,0.46607976582944033,12.738916855303339,0.3,133
33,2.563438712061922,0.04337673621641649,0.3,134
50,3.8839980485786696,0.01085767046637962,0.3,135
67,5.204557385095417,0.004093115458002039,0.3,136
13,1.0098394926304541,0.9678888718320209,0.3,137
84,6.525116721612164,0.001926219244328931,0.3,138
138,10.719834614077127,0.0003681626406626349,0.3,139
71,5.51527722898171,0.003373718494643336,0.3,140
34,2.6411186730334952,0.03926813549502645,0.3,141
148,11.496634223792862,0.0002915844007986721,0.3,142
40,3.1071984388629357,0.022843888579788002,0.3,143
7,0.5437597268010137,7.620378404879155,0.3,144
87,6.758156604526885,0.001713585698648385,0.3,145
34,2.6411186730334952,0.03926813549502645,0.3,146
41,3.184878399834509,0.021038938071678188,0.3,147
103,8.001035980072059,0.0009761410768775173,0.3,148
60,4.6607976582944035,0.005912881422789758,0.3,149
68,5.2822373460669905,0.003895892474602174,0.3,150
82,6.369756799669018,0.0020873270267047347,0.3,151
129,10.020714965332967,0.0004609682037037756,0.3,152
109,8.4671157459015,0.0008082548969411847,0.3,153
80,6.214396877725871,0.002266400797662488,0.3,154
99,7.690316136185766,0.0011139166333402168,0.3,155
101,7.8456760581289124,0.0010420744753700934,0.3,156
74,5.748317111896431,0.002938986595097844,0.3,157
95,7.379596292299472,0.0012780798465341003,0.3,158
37,2.8741585559482155,0.029623128612181075,0.3,159
72,5.592957189953284,0.0032200430864273606,0.3,160
41,3.184878399834509,0.021038938071678188,0.3,161
64,4.9715175021806965,0.0047683715820312465,0.3,162
36,2.796478594976642,0.03245600052926631,0.3,163
73,5.670637150924858,0.0030753447226552714,0.3,164
118,9.16623539464566,0.000620435510556916,0.3,165
60,4.6607976582944035,0.005912881422789758,0.3,166
48,3.7286381266355226,0.012440348491507163,0.3,167
90,6.991196487441605,0.0015304822818522383,0.3,168
149,11.574314184764434,0.0002851121836221387,0.3,169
35,2.7187986340050685,0.035651394604417457,0.3,170
93,7.2242363703563255,0.0013720191586281086,0.3,171
57,4.427757775379683,0.007015422297439552,0.3,172
121,9.39927527756038,0.000570626719129553,0.3,173
112,8.70015562881622,0.0007383176694519603,0.3,174
114,8.855515550759366,0.0006960180459347941,0.3,175
35,2.7187986340050685,0.035651394604417457,0.3,176
56,4.35007781440811,0.007441775786014798,0.3,177
5,0.38839980485786696,23.39214190570292,0.3,178
51,3.961678009550243,0.010164111423725381,0.3,179
30,2.3303988291472018,0.05959811016084131,0.3,180
53,4.11703793149339,0.008940952184894786,0.3,181
91,7.068876448413178,0.001475135891446316,0.3,182
97,7.5349562142426185,0.0011923329801384107,0.3,183
57,4.427757775379683,0.007015422297439552,0.3,184
115,8.93319551173094,0.000676047487598866,0.3,185
114,8.855515550759366,0.0006960180459347941,0.3,186
72,5.592957189953284,0.0032200430864273606,0.3,187
60,4.6607976582944035,0.005912881422789758,0.3,188
67,5.204557385095417,0.004093115458002039,0.3,189
137,10.642154653105555,0.00037719689912476997,0.3,190
21,1.631279180403041,0.1956916771052247,0.3,191
109,8.4671157459015,0.0008082548969411847,0.3,192
55,4.272397853436536,0.007902436947646262,0.3,193
32,2.4857587510903483,0.048062173839373494,0.3,194
28,2.175038907204055,0.07500839969118409,0.3,195
27,2.0973589462324815,0.0846754390421514,0.3,196
136,10.564474692133981,0.0003865214882836551,0.3,197
21,1.631279180403041,0.1956916771052247,0.3,198
105,8.156395902015205,0.0009155294961220824,0.3,199
20,1.5535992194314678,0.23025196866502406,0.3,200
4,0.31071984388629353,49.21566601151847,0.3,201
42,3.262558360806082,0.019415073381140933,0.3,202
7,0.5437597268010137,7.620378404879155,0.3,203
54,4.194717892464963,0.008400867563211267,0.3,204
73,5.670637150924858,0.0030753447226552714,0.3,205
84,6.525116721612164,0.001926219244328931,0.3,206
133,10.33143480921926,0.0004163557190060171,0.3,207
124,9.6323151604751,0.0005258934000499279,0.3,208
85,6.6027966825837385,0.0018517126151239174,0.3,209
82,6.369756799669018,0.0020873270267047347,0.3,210
155,12.040393950593876,0.0002499564475742621,0.3,211
70,5.437597268010137,0.0035370663311991035,0.3,212
67,5.204557385095417,0.004093115458002039,0.3,213
176,13.671673130996917,0.00016365443469788736,0.3,214
49,3.806318087607096,0.011614033406709717,0.3,215
35,2.7187986340050685,0.035651394604417457,0.3,216
103,8.001035980072059,0.0009761410768775173,0.3,217
37,2.8741585559482155,0.029623128612181075,0.3,218
51,3.961678009550243,0.010164111423725381,0.3,219
94,7.301916331327899,0.00132396699571758,0.3,220
55,4.272397853436536,0.007902436947646262,0.3,221
61,4.738477619265977,0.005595907851524272,0.3,222
15,1.1651994145736009,0.60071130820478,0.3,223
41,3.184878399834509,0.021038938071678188,0.3,224
