K,normalized_K,inverse_K,alpha,thetas,weights,seed
65,5.049197463152271,0.004528198767769069,0.3,[3],[1],22
126,9.787675082418247,0.0004985800007836652,0.3,[10],[1],22
59,4.58311769732283,0.006253598078823452,0.3,"[0, 3, 10]","[1, 1, 1]",22
1,0.07767996097157338,5000.0,0.3,[0],[1],23
86,6.680476643555312,0.001780909429985789,0.3,[3],[1],23
192,14.91455250654209,0.00012245200728498286,0.3,[10],[1],23
1,0.07767996097157338,5000.0,0.3,"[0, 3, 10]","[1, 1, 1]",23
1,0.07767996097157338,5000.0,0.3,[0],[1],24
36,2.796478594976642,0.03245600052926631,0.3,[3],[1],24
142,11.03055445796342,0.0003347152679650876,0.3,[10],[1],24
32,2.4857587510903483,0.048062173839373494,0.3,"[0, 3, 10]","[1, 1, 1]",24
7,0.5437597268010137,7.620378404879155,0.3,[0],[1],25
131,10.176074887276114,0.00043792427415697616,0.3,[3],[1],25
200,15.535992194314678,0.00010687349666729347,0.3,[10],[1],25
125,9.709995121446674,0.0005119999999999997,0.3,"[0, 3, 10]","[1, 1, 1]",25
20,1.5535992194314678,0.23025196866502406,0.3,[0],[1],26
88,6.835836565498458,0.0016495333374761136,0.3,[3],[1],26
223,17.322631296660866,7.435105366646763e-05,0.3,[10],[1],26
127,9.86535504338982,0.00048561370452460405,0.3,"[0, 3, 10]","[1, 1, 1]",26
10,0.7767996097157339,2.3207944168063888,0.3,[0],[1],27
130,10.098394926304541,0.0004492542179673577,0.3,[3],[1],27
195,15.147592389456811,0.00011628435807901239,0.3,[10],[1],27
23,1.786639102346188,0.14450311782565922,0.3,"[0, 3, 10]","[1, 1, 1]",27
56,4.35007781440811,0.007441775786014798,0.3,[0],[1],28
97,7.5349562142426185,0.0011923329801384107,0.3,[3],[1],28
202,15.691352116257825,0.00010338688240198098,0.3,[10],[1],28
202,15.691352116257825,0.00010338688240198098,0.3,"[0, 3, 10]","[1, 1, 1]",28
14,1.0875194536020274,0.7560372935188074,0.3,[0],[1],29
97,7.5349562142426185,0.0011923329801384107,0.3,[3],[1],29
178,13.827033052940063,0.00015760500193297996,0.3,[10],[1],29
179,13.904713013911637,0.0001546891670991137,0.3,"[0, 3, 10]","[1, 1, 1]",29
4,0.31071984388629353,49.21566601151847,0.3,[0],[1],30
121,9.39927527756038,0.000570626719129553,0.3,[3],[1],30
244,18.953910477063907,5.5081266370370493e-05,0.3,[10],[1],30
244,18.953910477063907,5.5081266370370493e-05,0.3,"[0, 3, 10]","[1, 1, 1]",30
15,1.1651994145736009,0.60071130820478,0.3,[0],[1],31
89,6.913516526470032,0.001588558876032669,0.3,[3],[1],31
227,17.63335114054716,7.007296276658385e-05,0.3,[10],[1],31
6,0.46607976582944033,12.738916855303339,0.3,"[0, 3, 10]","[1, 1, 1]",31
22,1.7089591413746146,0.16758214113063669,0.3,[0],[1],32
96,7.457276253271045,0.001234238892641842,0.3,[3],[1],32
156,12.11807391156545,0.00024465532710304065,0.3,[10],[1],32
86,6.680476643555312,0.001780909429985789,0.3,"[0, 3, 10]","[1, 1, 1]",32
4,0.31071984388629353,49.21566601151847,0.3,[0],[1],33
46,3.573278204692376,0.014336525078071007,0.3,[3],[1],33
169,13.127913404195903,0.00018736177364325244,0.3,[10],[1],33
168,13.050233443224329,0.00019110515342307097,0.3,"[0, 3, 10]","[1, 1, 1]",33
12,0.9321595316588807,1.2638606260652467,0.3,[0],[1],34
99,7.690316136185766,0.0011139166333402168,0.3,[3],[1],34
174,13.51631320905377,0.00017000923379200677,0.3,[10],[1],34
