K,normalized_K,inverse_K,alpha,thetas,weights,seed
20,0.7786440949523469,2.3025196866502404,0.3,[0],[1],0
272,10.589559691351917,0.00038347788569361764,0.3,[3],[1],0
468,18.220271821884918,6.282760347290209e-05,0.3,[10],[1],0
357,13.898797094899392,0.00015490875039628484,0.3,"[0, 3, 10]","[1, 1, 1]",0
28,1.0901017329332856,0.7500839969118408,0.3,[0],[1],1
96,3.737491655771265,0.01234238892641842,0.3,[3],[1],1
372,14.482780166113653,0.00013504967334489114,0.3,[10],[1],1
46,1.7908814183903978,0.14336525078071008,0.3,"[0, 3, 10]","[1, 1, 1]",1
9,0.3503898427285561,32.97324120501619,0.3,[0],[1],2
200,7.7864409495234685,0.0010687349666729346,0.3,[3],[1],2
400,15.572881899046937,0.00010603193814823844,0.3,[10],[1],2
370,14.404915756618417,0.00013749838298297485,0.3,"[0, 3, 10]","[1, 1, 1]",2
9,0.3503898427285561,32.97324120501619,0.3,[0],[1],3
88,3.426034017790326,0.016495333374761136,0.3,[3],[1],3
420,16.351525993999285,9.011678780967642e-05,0.3,[10],[1],3
26,1.0122373234380508,0.9602673833340398,0.3,"[0, 3, 10]","[1, 1, 1]",3
78,3.036711970314153,0.024659711726882933,0.3,[0],[1],4
190,7.397118902047295,0.0012680158080547411,0.3,[3],[1],4
406,15.806475127532641,0.00010089815519582831,0.3,[10],[1],4
144,5.606237483656898,0.0031946873642360748,0.3,"[0, 3, 10]","[1, 1, 1]",4
61,2.374864489604658,0.05595907851524272,0.3,[0],[1],5
165,6.423813783356862,0.002029349537961315,0.3,[3],[1],5
429,16.701915836727842,8.396772056052503e-05,0.3,[10],[1],5
427,16.624051427232605,8.528587069489855e-05,0.3,"[0, 3, 10]","[1, 1, 1]",5
28,1.0901017329332856,0.7500839969118408,0.3,[0],[1],6
252,9.810915596399571,0.0004946540110839348,0.3,[3],[1],6
406,15.806475127532641,0.00010089815519582831,0.3,[10],[1],6
399,15.53394969429932,0.00010692034515303214,0.3,"[0, 3, 10]","[1, 1, 1]",6
13,0.5061186617190254,9.67888871832021,0.3,[0],[1],7
149,5.800898507394984,0.002851121836221387,0.3,[3],[1],7
335,13.042288590451811,0.0001914934752600198,0.3,[10],[1],7
151,5.878762916890219,0.0027271781793086042,0.3,"[0, 3, 10]","[1, 1, 1]",7
13,0.5061186617190254,9.67888871832021,0.3,[0],[1],8
95,3.6985594510236477,0.012780798465341003,0.3,[3],[1],8
290,11.29033937680903,0.000309725296955497,0.3,[10],[1],8
201,7.8253731542710865,0.0010511139814905833,0.3,"[0, 3, 10]","[1, 1, 1]",8
49,1.9076780326332499,0.11614033406709717,0.3,[0],[1],9
143,5.56730527890928,0.0032697650402489643,0.3,[3],[1],9
332,12.925491976208958,0.00019732240132417275,0.3,[10],[1],9
30,1.1679661424285204,0.5959811016084131,0.3,"[0, 3, 10]","[1, 1, 1]",9
41,1.596220394652311,0.21038938071678187,0.3,[0],[1],10
