K,normalized_K,inverse_K,alpha,seed
343,13.35374622843275,0.00017700665873207164,0.3,0
80,3.1145763798093875,0.02266400797662488,0.3,1
328,12.769763157218488,0.00020545837960623227,0.3,2
304,11.835390243275672,0.00026468219382073027,0.3,3
212,8.253627406494877,0.0008800698331134762,0.3,4
354,13.78200048065654,0.0001593281319452333,0.3,5
327,12.730830952470871,0.00020756023901602987,0.3,6
74,2.8809831513236834,0.02938986595097844,0.3,7
175,6.813135830833035,0.0016679249634454895,0.3,8
199,7.7475087447758515,0.0010867419110861508,0.3,9
171,6.657407011842566,0.0018015637571335346,0.3,10
180,7.007796854571122,0.0015184307401443335,0.3,11
365,14.21025473288033,0.0001438778003226134,0.3,12
150,5.839830712142602,0.0027882549003882305,0.3,13
262,10.200237643875743,0.00043447590842449636,0.3,14
383,14.911034418337442,0.0001225483376366543,0.3,15
245,9.53839016316625,0.0005433542350946561,0.3,16
159,6.190220554871158,0.0022960407410469405,0.3,17
286,11.13461055781856,0.0003244017790362529,0.3,18
243,9.460525753671014,0.0005584047351355004,0.3,19
259,10.083441029632892,0.000451478899122445,0.3,20
224,8.720813863466285,0.0007325039032342193,0.3,21
113,4.3993391364807595,0.007167623632623165,0.3,22
380,14.79423780409459,0.00012580310172615014,0.3,23
207,8.05896638275679,0.0009529472317884671,0.3,24
347,13.50947504742322,0.0001702962514345065,0.3,25
209,8.136830792252026,0.0009228881096363319,0.3,26
369,14.3659835518708,0.0001387443959469686,0.3,27
381,14.833170008842208,0.00012470582852270812,0.3,28
329,12.808695361966107,0.00020338410617389154,0.3,29
502,19.543966783303908,4.973066658582566e-05,0.3,30
98,3.8153560652664997,0.011522580529628007,0.3,31
222,8.64294945397105,0.0007547331447690643,0.3,32
147,5.72303409789975,0.002982489260454478,0.3,33
351,13.665203866413687,0.00016391283033277796,0.3,34
101,3.9321526795093518,0.010420744753700934,0.3,35
98,3.8153560652664997,0.011522580529628007,0.3,36
269,10.472763077109066,0.00039791997227028186,0.3,37
217,8.448288430232964,0.0008142746068032535,0.3,38
287,11.173542762566179,0.0003206493386860128,0.3,39
48,1.8687458278856326,0.12440348491507164,0.3,40
178,6.929932445075887,0.0015760500193297995,0.3,41
223,8.681881658718668,0.0007435105366646763,0.3,42
300,11.679661424285204,0.00027662992262698525,0.3,43
250,9.733051186904335,0.0005079683366298234,0.3,44
222,8.64294945397105,0.0007547331447690643,0.3,45
164,6.384881578609244,0.0020708906987454683,0.3,46
417,16.234729379756434,9.229605840064132e-05,0.3,47
