mle,alpha,seed,success
0.6034908750190455,0.6,0,1
0.6978564151423516,0.7,0,1
0.7963867719462498,0.8,0,1
0.584649047465722,0.6,1,1
0.7015463648275228,0.7,1,1
0.8016517706514513,0.8,1,1
0.5812072242205156,0.6,2,1
0.7009670972341765,0.7,2,1
0.8042507357879234,0.8,2,1
0.548495732134087,0.6,3,1
0.7038906254773609,0.7,3,1
0.8014260631309528,0.8,3,1
0.5933864155957218,0.6,4,1
0.7079596158988309,0.7,4,1
0.8026109405396556,0.8,4,1
0.5947398539591837,0.6,5,1
0.7043054474265423,0.7,5,1
0.7995285009479092,0.8,5,1
0.5982657476402344,0.6,6,1
0.697487835079136,0.7,6,1
0.7966197259571764,0.8,6,1
0.5841635353304704,0.6,7,1
0.684635060214871,0.7,7,1
0.8038358454247408,0.8,7,1
0.5984942352132289,0.6,8,1
0.6929368456500383,0.7,8,1
0.8004308441225005,0.8,8,1
0.6058224821970754,0.6,9,1
0.6992522262473947,0.7,9,1
0.79797693606986,0.8,9,1
0.6175459256280647,0.6,10,1
0.7013501731764115,0.7,10,1
0.7999855317000636,0.8,10,1
0.5100298158034928,0.6,11,0
0.7442304105749433,0.7,11,0
0.795178886093439,0.8,11,1
0.6008424015215067,0.6,12,1
0.6945035317215033,0.7,12,1
0.7976113804402296,0.8,12,1
0.5740611138096059,0.6,13,0
0.7112727783162776,0.7,13,1
0.808334558210221,0.8,13,1
0.6232704941282233,0.6,14,0
0.6931405732512451,0.7,14,1
0.8002023728707006,0.8,14,1
0.5973536318609348,0.6,15,1
0.7218322801440669,0.7,15,0
0.8130455768891973,0.8,15,0
0.5847964749003992,0.6,16,1
0.7075389943030584,0.7,16,1
0.797176547644701,0.8,16,1
0.5660532183183419,0.6,17,1
0.6903494477417843,0.7,17,1
0.7991512851849005,0.8,17,1
0.587820106263936,0.6,18,1
0.701261902750326,0.7,18,1
0.8008059540639356,0.8,18,1
0.5829981073269526,0.6,19,1
0.7028566786281818,0.7,19,1
0.8003073811428859,0.8,19,1
0.608593167969651,0.6,20,1
0.7123670168410475,0.7,20,1
0.8115775735522875,0.8,20,0
0.6036850350428984,0.6,21,1
0.6943049856701284,0.7,21,1
