mle,alpha,seed,success
0.5996050217221771,0.6,0,1
0.6947679986565266,0.7,0,1
0.7978486696109295,0.8,0,1
0.5827460121476364,0.6,1,1
0.6969624909059361,0.7,1,1
0.795775901681862,0.8,1,1
0.598607697850176,0.6,2,1
0.7020811724951688,0.7,2,1
0.8029025099919627,0.8,2,1
0.5491353034651455,0.6,3,0
0.6957704822404123,0.7,3,1
0.803829022608487,0.8,3,1
0.5893797490797439,0.6,4,1
0.708540482887792,0.7,4,1
0.8032849059949374,0.8,4,1
0.6067880661401925,0.6,5,1
0.7038511457940002,0.7,5,1
0.7968922223401809,0.8,5,1
0.6018892002095773,0.6,6,1
0.699973187356365,0.7,6,1
0.7968764703131146,0.8,6,1
0.5873156513155032,0.6,7,1
0.6987195672696892,0.7,7,1
0.8062832350507946,0.8,7,1
0.6075794006459051,0.6,8,1
0.675999242985628,0.7,8,0
0.7982511774593019,0.8,8,1
0.6045520976565041,0.6,9,1
0.7064078603291347,0.7,9,1
0.797506820050503,0.8,9,1
0.6145790234141465,0.6,10,1
0.700311958464349,0.7,10,1
0.800752366321277,0.8,10,1
0.5803974224004859,0.6,11,1
0.7033484513442703,0.7,11,1
0.7984344983554122,0.8,11,1
0.5901225734552518,0.6,12,1
0.6918952339220928,0.7,12,1
0.7983596134915308,0.8,12,1
0.5768655451388874,0.6,13,1
0.704692529216885,0.7,13,1
0.8095962446127387,0.8,13,0
0.6188072555949361,0.6,14,1
0.6924553840958386,0.7,14,1
0.8031372361073055,0.8,14,1
0.6071675001916014,0.6,15,1
0.716995114085146,0.7,15,0
0.8066184584645194,0.8,15,1
0.5957148434297244,0.6,16,1
0.7106926865478502,0.7,16,1
0.7988347660540313,0.8,16,1
0.5976397130242587,0.6,17,1
0.7102961572199946,0.7,17,1
0.7983328557534025,0.8,17,1
0.6026596477542528,0.6,18,1
0.7018437298233912,0.7,18,1
0.8025238873056071,0.8,18,1
0.6222849844143725,0.6,19,1
0.6981897985206488,0.7,19,1
0.8016659397665991,0.8,19,1
0.6093053469141002,0.6,20,1
0.7166749170464647,0.7,20,1
0.8093320455922308,0.8,20,1
0.6176054228225856,0.6,21,1
0.6939111599624983,0.7,21,1
0.8042292977593454,0.8,21,1
0.5838307246172045,0.6,22,1
0.7062769073840992,0.7,22,1
0.8064025585994025,0.8,22,1
0.6038991934507204,0.6,23,1
0.6905570494366696,0.7,23,1
0.7991405490103254,0.8,23,1
0.5963037509339069,0.6,24,1
0.7048016797944434,0.7,24,1
0.8003594799154582,0.8,24,1
0.6319634269622413,0.6,25,1
0.7125492047553491,0.7,25,1
0.8068745718771545,0.8,25,1
0.6160207270204817,0.6,26,1
0.7111874639911403,0.7,26,1
0.7964906218479691,0.8,26,1
0.5899446377518969,0.6,27,1
0.6981296819062828,0.7,27,1
0.8019869334077988,0.8,27,1
0.5992284671153412,0.6,28,1
0.6858151408919396,0.7,28,0
0.8026931982050468,0.8,28,1
0.611571592703044,0.6,29,1
0.7077407230230375,0.7,29,1
0.796196009968712,0.8,29,1
0.6116273773764559,0.6,30,1
0.7098651668760463,0.7,30,1
0.8036944844878979,0.8,30,1
0.6172942635648601,0.6,31,1
0.6998898147913057,0.7,31,1
0.8008389478208101,0.8,31,1
0.6093592457480415,0.6,32,1
0.6934314618350795,0.7,32,1
0.80562501827622,0.8,32,1
0.5879000262768548,0.6,33,1
0.6905598295653086,0.7,33,1
0.790504045176693,0.8,33,0
0.589681804622937,0.6,34,1
0.7020585769201266,0.7,34,1
0.7946180968764428,0.8,34,1
0.5954468250703197,0.6,35,1
0.6845788968706872,0.7,35,1
0.8058836552195237,0.8,35,1
0.5729084203070045,0.6,36,1
0.6923498894105021,0.7,36,1
0.8011982540206268,0.8,36,1
0.5916456322271259,0.6,37,1
0.7095104133998533,0.7,37,1
0.7941874749739879,0.8,37,1
0.6106792901111538,0.6,38,1
0.7086879997162275,0.7,38,1
0.8089476584497225,0.8,38,1
0.6178599254747262,0.6,39,1
0.7049939176071265,0.7,39,1
0.8024743480907105,0.8,39,1
0.6047818549062702,0.6,40,1
0.7028664751262154,0.7,40,1
0.7971859912269503,0.8,40,1
0.6112180048673513,0.6,41,1
0.6980743302671405,0.7,41,1
0.8003440019075633,0.8,41,1
0.598041472089484,0.6,42,1
0.6988014266315452,0.7,42,1
0.8007315452462286,0.8,42,1
0.5969786937183768,0.6,43,1
0.7040792650969457,0.7,43,1
0.7938122823855491,0.8,43,1
0.6036347146741501,0.6,44,1
0.6999496689220887,0.7,44,1
0.7940554383890256,0.8,44,1
0.5884003717319173,0.6,45,1
0.6997265971387396,0.7,45,1
0.8016601232556161,0.8,45,1
0.5771691905647581,0.6,46,1
0.6879540315052975,0.7,46,1
0.8052105751286405,0.8,46,1
0.6013646655855325,0.6,47,1
0.7049622061891576,0.7,47,1
0.7957990152682233,0.8,47,1
0.5926884352751965,0.6,48,1
0.7054186030114119,0.7,48,1
0.7933418356605175,0.8,48,1
0.6004513978328131,0.6,49,1
0.6962328885598555,0.7,49,1
0.8013361843245987,0.8,49,1
0.5846031847443234,0.6,50,1
0.7006303463291562,0.7,50,1
0.7975587225593058,0.8,50,1
0.6042406943910316,0.6,51,1
0.703912026211244,0.7,51,1
0.8032145889791003,0.8,51,1
0.6092507985002404,0.6,52,1
0.692534117872002,0.7,52,1
0.792434224467379,0.8,52,1
0.6130185434269476,0.6,53,1
0.6857087210577993,0.7,53,1
0.8018485383911014,0.8,53,1
0.5962375422486941,0.6,54,1
0.7080920055039205,0.7,54,1
0.7905568047630599,0.8,54,1
0.6250217012139371,0.6,55,1
0.6988855311752666,0.7,55,1
0.7993489893872858,0.8,55,1
0.6120203894703135,0.6,56,1
0.695588089966604,0.7,56,1
0.7969863851361024,0.8,56,1
0.6268219402510636,0.6,57,0
