mle,alpha,seed,success
0.599779369021422,0.6,0,1
0.6984045001864803,0.7,0,1
0.7961405629859402,0.8,0,1
0.589645025511986,0.6,1,1
0.6823225982698834,0.7,1,1
0.7979156096266802,0.8,1,1
0.6007209647404482,0.6,2,1
0.7023809759657705,0.7,2,1
0.8031335292019508,0.8,2,1
0.5677179819240039,0.6,3,1
0.6632215947715078,0.7,3,1
0.8091155753978899,0.8,3,1
0.5923625556516944,0.6,4,1
0.7080423913619498,0.7,4,1
0.8025263801110323,0.8,4,1
0.6039590253383237,0.6,5,1
0.7060649159855108,0.7,5,1
0.7991169316713878,0.8,5,1
0.6009178794565043,0.6,6,1
0.6997414579926484,0.7,6,1
0.7957374050913563,0.8,6,1
0.5829092109398604,0.6,7,1
0.6985979531004558,0.7,7,1
0.8080434565357417,0.8,7,0
0.6184293033024342,0.6,8,1
0.6811044763887671,0.7,8,1
0.7972738300782606,0.8,8,1
0.6098835286211234,0.6,9,1
0.7087532073728398,0.7,9,1
0.7978465410782375,0.8,9,1
0.6224375489972226,0.6,10,1
0.6984818050713165,0.7,10,1
0.800776999468277,0.8,10,1
0.5372666239325554,0.6,11,1
0.6730099842037616,0.7,11,1
0.7973159516704386,0.8,11,1
0.5920760815333469,0.6,12,1
0.6924772038983409,0.7,12,1
0.8000240032197803,0.8,12,1
0.5757975198042093,0.6,13,1
0.7029091684894648,0.7,13,1
0.807735944965038,0.8,13,1
0.6212201677864818,0.6,14,0
0.6973976026303035,0.7,14,1
0.8022540822402385,0.8,14,1
0.6150918811333356,0.6,15,1
0.7188952105028367,0.7,15,0
0.8135209126314564,0.8,15,0
0.5941678680777215,0.6,16,1
0.7049101909884513,0.7,16,1
0.7952686842743089,0.8,16,1
0.570034601127843,0.6,17,1
0.6794673018548798,0.7,17,1
0.7973555689896268,0.8,17,1
0.5982097636378529,0.6,18,1
0.6992128182342355,0.7,18,1
0.8026753988065027,0.8,18,1
0.6156454018382034,0.6,19,1
0.7050918253186303,0.7,19,1
0.7995817865283459,0.8,19,1
0.6047668690652098,0.6,20,1
0.7126886251082056,0.7,20,1
0.8084156020242821,0.8,20,1
0.6147619741091489,0.6,21,1
0.6967644125700199,0.7,21,1
0.8016005694604472,0.8,21,1
0.5943221277181652,0.6,22,1
0.7019083319429793,0.7,22,1
0.8041122001293556,0.8,22,1
0.6068797902957439,0.6,23,1
0.7138216454113837,0.7,23,1
0.7948477864879318,0.8,23,1
0.5943106854643312,0.6,24,1
0.7062093057495014,0.7,24,1
0.8014291165837424,0.8,24,1
0.5150245681236254,0.6,25,0
0.6950478952773004,0.7,25,1
0.8017127660332981,0.8,25,1
0.6226552749274324,0.6,26,1
0.7057915263217655,0.7,26,1
0.7957969919623253,0.8,26,1
0.5936023834681777,0.6,27,1
0.6966422963513901,0.7,27,1
0.8016680132142685,0.8,27,1
0.5997659907482638,0.6,28,1
0.6877672682867392,0.7,28,1
0.8001703384680405,0.8,28,1
0.6067258018998742,0.6,29,1
0.7031340769457921,0.7,29,1
0.8019001126977668,0.8,29,1
0.6385173033676074,0.6,30,1
0.7003620439391874,0.7,30,1
0.8027502859759422,0.8,30,1
0.6255836727398708,0.6,31,0
0.6926818420508289,0.7,31,1
0.7980935282805879,0.8,31,1
