mle,alpha,seed,success
0.6233350999148278,0.6,0,1
0.7157786054326881,0.7,0,1
0.8007728404197337,0.8,0,1
0.5851215679419065,0.6,1,1
0.6931116237326762,0.7,1,1
0.8051983772309168,0.8,1,1
0.6188329145441023,0.6,2,1
0.6988674042916654,0.7,2,1
0.8133993944573481,0.8,2,1
0.46440657171412214,0.6,3,0
0.6898603977562532,0.7,3,1
0.8337444273648762,0.8,3,1
0.5985897864257292,0.6,4,1
0.7309798651610555,0.7,4,0
0.8070679894283854,0.8,4,1
0.6408183979379996,0.6,5,1
0.7069743551841721,0.7,5,1
0.8052942806845715,0.8,5,1
0.6001656842396633,0.6,6,1
0.7000545991988101,0.7,6,1
0.8036434562914201,0.8,6,1
0.5996047533381543,0.6,7,1
0.6955783898434018,0.7,7,1
0.7981744681510717,0.8,7,1
0.5791526032348595,0.6,8,1
0.651839343453242,0.7,8,0
0.7682281729993022,0.8,8,0
0.5923653570151725,0.6,9,1
0.6995155663091871,0.7,9,1
0.7963286981570791,0.8,9,1
0.6233211258162116,0.6,10,1
0.7131429603816557,0.7,10,1
0.817197773843815,0.8,10,1
0.6021901323772958,0.6,11,1
0.683157680847428,0.7,11,1
0.7965143282110273,0.8,11,1
0.5965403696500295,0.6,12,1
0.702360190170386,0.7,12,1
0.8250852268232635,0.8,12,0
0.5538951407257041,0.6,13,0
0.6736640872569145,0.7,13,1
0.8057647134163173,0.8,13,1
0.6174738640794777,0.6,14,1
0.6901227168534892,0.7,14,1
0.8142253036577286,0.8,14,1
0.6247855451297412,0.6,15,1
0.7170963960954195,0.7,15,1
0.7993215179645903,0.8,15,1
0.6364384690549573,0.6,16,1
0.7135950334702921,0.7,16,1
0.798201172971439,0.8,16,1
0.6251315126964704,0.6,17,1
0.7092909457082568,0.7,17,1
0.785734287304763,0.8,17,1
0.5997800513148943,0.6,18,1
0.7237713956940672,0.7,18,1
0.8108675594159721,0.8,18,1
0.6257597714568868,0.6,19,1
0.7207857974515006,0.7,19,1
0.8124370116657317,0.8,19,1
0.6457648690064373,0.6,20,1
0.7289798724461363,0.7,20,1
0.7838371202115655,0.8,20,1
0.6125512875489458,0.6,21,1
0.7273960199479292,0.7,21,1
0.8173697330932931,0.8,21,1
0.5424984454659699,0.6,22,1
0.7034143065344926,0.7,22,1
0.8020590481947573,0.8,22,1
0.5859723754820826,0.6,23,1
0.6861590507093636,0.7,23,1
0.7852455009521154,0.8,23,1
0.6183158103691021,0.6,24,1
0.699986780856082,0.7,24,1
0.7929895954701266,0.8,24,1
0.6652397892621057,0.6,25,1
0.7178852096738723,0.7,25,1
0.803468840807009,0.8,25,1
0.6231152641424822,0.6,26,1
0.7306293997813104,0.7,26,1
0.801268192948223,0.8,26,1
0.5547895459660135,0.6,27,0
0.6894076259725104,0.7,27,1
0.78684782969713,0.8,27,1
0.6161476105101289,0.6,28,1
0.7067781871407148,0.7,28,1
0.8045551455971812,0.8,28,1
0.6354445476041904,0.6,29,1
0.7406698849300843,0.7,29,1
0.7883034613352424,0.8,29,1
0.6231663545410048,0.6,30,1
0.7329686147277734,0.7,30,1
0.788157214051022,0.8,30,1
